"DateTime","CalibValid","Observed","local","local_bfs","all_ws","all_ws_attr","all_ws_bfs","all_ws_bfs_attr"
"2014-06-13","Valid",6.05,5.7265677,5.490941,7.7077265,5.5270014,7.3029413,5.607485
"2014-06-14","Valid",5.94,5.653756,5.398126,7.57957,5.47343,7.236155,5.467539
"2014-06-15","Valid",5.8199997,5.5815,5.321664,7.40508,5.267101,7.13432,5.4357157
"2014-06-16","Valid",5.62,5.4929457,5.2370563,7.232587,5.2030544,7.0525937,5.460432
"2014-06-17","Valid",5.9,5.37857,5.132511,7.071926,5.0952716,6.973758,5.3803587
"2014-06-18","Valid",12.299999,7.675932,8.101211,9.4150305,9.542576,9.609266,8.958811
"2014-06-19","Valid",11.599999,9.75639,10.156981,10.272312,13.924988,10.375348,11.584993
"2014-06-20","Valid",9.43,11.875738,12.450704,10.214348,13.698778,10.415034,11.484953
"2014-06-21","Valid",15.4,13.74457,14.2398205,9.468995,12.6910925,10.257421,10.709586
"2014-06-22","Valid",15.6,14.720755,14.918488,10.663096,15.754274,10.946469,13.495754
"2014-06-23","Valid",14.2,14.906828,14.974459,10.861822,15.578863,10.936142,13.78796
"2014-06-24","Valid",14.4,15.046984,14.954494,10.510623,14.272456,10.822454,11.791704
"2014-06-25","Valid",14.5,14.843775,14.794226,10.7494955,15.051178,11.221532,12.115438
"2014-06-26","Valid",13.599999,14.520166,14.439392,10.759611,15.180643,11.205776,12.06468
"2014-06-27","Valid",12.7,14.121152,13.897471,10.641831,14.211859,11.085583,11.571945
"2014-06-28","Valid",11.9,13.750248,13.250689,10.519104,13.001874,11.035333,11.110266
"2014-06-29","Valid",10.1,13.346834,12.615473,10.402382,13.342119,10.966264,10.5051985
"2014-06-30","Valid",4.44,13.5455675,12.61477,9.9880495,11.584179,10.701775,9.514951
"2014-07-01","Valid",5.23,14.050975,14.082264,7.37249,8.445606,9.683838,9.000849
"2014-07-02","Valid",10,14.670895,15.178307,6.624339,7.6650767,9.583157,7.634677
"2014-07-03","Valid",12.6,15.080534,15.092478,9.863374,12.594992,11.814756,11.809128
"2014-07-04","Valid",12.6,15.102354,14.594747,11.064512,14.446555,12.421941,12.542816
"2014-07-05","Valid",12.1,14.886259,13.926,11.149195,13.742963,12.578124,11.615927
"2014-07-06","Valid",11.599999,14.535963,13.197002,11.086267,12.981649,12.599598,10.659887
"2014-07-07","Valid",11.299999,14.209055,12.496207,10.968834,12.086924,12.561471,10.039476
"2014-07-08","Valid",10.9,13.89024,12.046909,10.842737,11.555362,12.444995,9.762005
"2014-07-09","Valid",10.5,13.458344,11.679617,10.68601,10.883608,12.28679,9.473185
"2014-07-10","Valid",10.1,12.861628,11.319862,10.671475,10.854705,12.185272,9.254962
"2014-07-11","Valid",9.75,12.277779,10.998625,10.641698,10.548488,12.056513,9.076315
"2014-07-12","Valid",8.87,11.685778,10.769867,10.508387,10.017025,11.895936,8.967149
"2014-07-13","Valid",4.15,11.388531,10.821028,10.3818035,9.78262,11.82581,9.118656
"2014-07-14","Valid",7.08,12.710789,12.723343,9.866621,8.9155445,11.256777,9.502023
"2014-07-15","Valid",8.75,13.541263,12.893541,10.520286,12.169918,11.941179,10.390337
"2014-07-16","Valid",9.21,13.50448,12.512265,10.721087,11.841593,11.913079,10.070175
"2014-07-17","Valid",9.16,13.159808,11.922851,10.79634,10.861314,11.759434,9.741672
"2014-07-18","Valid",8.95,12.65377,11.363349,10.703793,10.061927,11.5994835,9.456837
"2014-07-19","Valid",8.7,12.06203,10.852198,10.528265,9.478601,11.426867,9.244827
"2014-07-20","Valid",8.41,11.4734745,10.403104,10.344472,9.06546,11.26132,9.09593
"2014-07-21","Valid",8.099999,10.888174,10.015718,10.189905,8.679906,11.164713,9.035153
"2014-07-22","Valid",7.7799997,10.861759,10.467634,9.623745,7.851507,10.59941,8.229592
"2014-07-23","Valid",7.5099998,11.164596,10.363369,9.644104,7.750509,10.669584,8.896013
"2014-07-24","Valid",7.31,11.099285,10.114874,9.573134,7.3119497,10.598894,9.509913
"2014-07-25","Valid",7.0899997,10.808758,9.734636,9.585111,7.1578603,10.5762825,9.309032
"2014-07-26","Valid",7.0299997,10.681883,9.562466,9.494145,7.074253,10.491794,9.442224
"2014-07-27","Valid",6.99,10.647133,9.270938,9.59711,7.104121,10.591212,9.164019
"2014-07-28","Valid",6.99,10.503342,9.0046215,9.50751,6.9504733,10.472338,9.049009
"2014-07-29","Valid",6.89,10.234191,8.717477,9.448443,7.036295,10.36294,8.814325
"2014-07-30","Valid",6.75,9.9149685,8.415188,9.393137,7.1107593,10.264696,8.713556
"2014-07-31","Valid",6.66,9.5793495,8.126027,9.218567,7.072366,10.072069,8.515804
"2014-08-01","Valid",6.58,9.250178,7.865638,9.0187235,7.087528,9.948256,8.263229
"2014-08-02","Valid",6.47,8.923082,7.6335883,8.827782,7.0724854,9.784979,8.037933
"2014-08-03","Valid",6.38,8.581703,7.420869,8.628488,7.0186896,9.621653,7.8810306
"2014-08-04","Valid",6.25,8.245685,7.2240424,8.416323,6.975179,9.457108,7.7837143
"2014-08-05","Valid",6.18,7.941243,7.0483274,8.245961,6.981984,9.353524,7.6847525
"2014-08-06","Valid",6.24,7.6719885,6.9043603,8.093449,6.95845,9.210781,7.601724
"2014-08-07","Valid",6.2,7.4989996,6.799164,8.090817,7.132027,9.183074,7.355065
