"Site","RMSE_Calib","RMSE_Valid","NSE_Calib","NSE_Valid","MI_Calib","MI_Valid","multi_watershed"
"01408500",0.324001,0.478446,0.884754,0.809425,0.489372,0.446673,"indv-watershed"
"01463500",0.464722,0.98575,0.774917,0.118831,0.356507,0.320173,"indv-watershed"
"01646500",0.336722,0.590564,0.884048,0.677058,0.46756,0.318977,"indv-watershed"
"03339000",0.385268,0.495805,0.842884,0.780781,0.452601,0.4314,"indv-watershed"
"03346500",0.462972,0.757981,0.813273,-0.062164,0.438949,0.254058,"indv-watershed"
"04072150",0.408216,0.809506,0.853213,-0.115303,0.505951,0.427993,"indv-watershed"
"04081000",0.279963,0.345424,0.92687,0.839699,0.537008,0.424648,"indv-watershed"
"05412500",0.376638,1.015054,0.869901,-1.825956,0.521176,0.292778,"indv-watershed"
"05418400",0.282863,0.880834,0.920684,0.175316,0.513568,0.471507,"indv-watershed"
"05446500",0.657357,1.045272,0.637571,-3.447631,0.278304,0.244792,"indv-watershed"
"05447500",0.349151,0.741072,0.886907,-0.5803,0.512035,0.408129,"indv-watershed"
"05455100",0.291863,0.713438,0.924369,-0.160028,0.568327,0.300598,"indv-watershed"
"05457000",0.456103,0.637044,0.806126,0.455288,0.422019,0.430862,"indv-watershed"
"05465500",0.377449,0.737969,0.870267,0.091671,0.544367,0.414021,"indv-watershed"
"05481000",0.319683,0.747711,0.907048,-0.118241,0.511813,0.527649,"indv-watershed"
"05482000",0.353714,0.890354,0.876007,-0.672326,0.484498,0.437995,"indv-watershed"
"05482300",0.431676,1.021851,0.839246,-2.834803,0.415315,0.250149,"indv-watershed"
"05482500",0.46581,0.786515,0.806806,-0.83109,0.426844,0.432976,"indv-watershed"
"05484000",0.252313,0.481911,0.927819,0.672175,0.553177,0.502842,"indv-watershed"
"05484500",0.432721,0.778971,0.830392,-0.292682,0.413706,0.398693,"indv-watershed"
"05515500",0.493422,0.582738,0.775691,0.435312,0.485513,0.314252,"indv-watershed"
"05517500",0.513901,0.585845,0.73628,0.645456,0.46072,0.372865,"indv-watershed"
"05518000",0.483574,0.489506,0.768785,0.714912,0.455265,0.480679,"indv-watershed"
