"STAID","LAT_GAGE","LNG_GAGE","STANAME","DRAIN_SQKM"
"01408500",39.98638889,-74.2233333,"TOMS RIVER NEAR TOMS RIVER NJ",318.7953
"01463500",40.22166667,-74.7780556,"DELAWARE RIVER AT TRENTON NJ",17579.75
"01646500",38.94977778,-77.12763889,"POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA",29952.08
"03339000",40.10087009,-87.59724187,"VERMILION RIVER NEAR DANVILLE, IL",3341.407
"03346500",38.723611,-87.664444,"EMBARRAS RIVER AT LAWRENCEVILLE, IL",6026.893
"04072150",44.535833,-88.129722,"DUCK CREEK NEAR HOWARD, WI",280.7126
"04081000",44.32915,-88.99595,"WAUPACA RIVER NEAR WAUPACA, WI",710.1567
"05412500",42.73998843,-91.26179908,"Turkey River at Garber, IA",3858.214
"05418400",42.164405,-90.728246,"North Fork Maquoketa River near Fulton, IA",1302.337
"05446500",41.55975563,-90.18206558,"ROCK RIVER NEAR JOSLIN, IL",23951.13
"05447500",41.48892309,-90.15761855,"GREEN RIVER NEAR GENESEO, IL",2575.741
"05455100",41.60640518,-91.61572419,"Old Mans Creek near Iowa City, IA",521.7515
"05457000",43.63635194,-92.97408139,"CEDAR RIVER NEAR AUSTIN, MN",1035.219
"05465500",41.17808612,-91.18209388,"Iowa River at Wapello, IA",32364.76
"05481000",42.43247506,-93.80577623,"Boone River near Webster City, IA",2123.136
"05482000",41.61248906,-93.62105133,"Des Moines River at 2nd Avenue, Des Moines, IA",16178.63
"05482300",42.35442663,-94.99082237,"North Raccoon River near Sac City, IA",1839.541
"05482500",41.98803907,-94.3769127,"North Raccoon River near Jefferson, IA",4187.964
"05484000",41.58943241,-94.15134626,"South Raccoon River at Redfield, IA",2548.053
"05484500",41.53387791,-93.94995029,"Raccoon River at Van Meter, IA",8870.213
"05515500",41.40004234,-86.70112916,"KANKAKEE RIVER AT DAVIS, IND.",1371.498
"05517500",41.21948368,-86.96863373,"KANKAKEE RIVER AT DUNNS BRIDGE, IND.",3467.25
"05518000",41.18281343,-87.34030956,"KANKAKEE RIVER AT SHELBY, IN",4587.032
"05524500",40.87059306,-87.30669117,"IROQUOIS RIVER NEAR FORESMAN, IN",1167.568
"05537980",41.53639,-88.0825,"DES PLAINES RIVER AT ROUTE 53 AT JOLIET, IL",2925.773
"05595000",38.32921611,-89.87926914,"KASKASKIA RIVER AT NEW ATHENS, IL",13439.8
"06481000",43.7902515,-96.74532896,"BIG SIOUX R NEAR DELL RAPIDS SD",9662.446
"06808500",40.87305473,-95.58027462,"West Nishnabotna River at Randolph, IA",3428.401
"06817000",40.73940695,-95.01322897,"Nodaway River at Clarinda, IA",1971.839
